epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,298.609,0.78395,0.44859,1.24303,1.20919,0,0.8447,0.72191,0.85826,0.74213,0.8447,0.72191,0.85826,0.74102,0.54639,0.19029,1.11943,1.00814,0,0.0002327,0.0002327,0.0002327
29,309.227,0.76465,0.49792,1.11965,1.17673,0,0.86481,0.76315,0.86584,0.77015,0.86481,0.76315,0.86584,0.75663,0.55088,0.19052,1.05613,0.99877,0,0.0002228,0.0002228,0.0002228
30,319.798,0.74294,0.48007,1.13353,1.17036,0,0.85888,0.8194,0.884,0.76942,0.85888,0.8194,0.884,0.7681,0.56391,0.18292,1.024,0.99787,0,0.0002129,0.0002129,0.0002129
31,330.449,0.71381,0.44994,1.05705,1.14174,0,0.89284,0.81162,0.8875,0.79126,0.89284,0.81162,0.8875,0.78319,0.59093,0.18047,1.07341,1.0161,0,0.000203,0.000203,0.000203
32,341.095,0.77989,0.52248,1.14253,1.17997,0,0.91049,0.70022,0.89841,0.78752,0.91049,0.70022,0.89841,0.78854,0.58111,0.18218,1.19908,1.00434,0,0.0001931,0.0001931,0.0001931
33,351.775,0.73015,0.4938,1.10766,1.16845,0,0.87228,0.76052,0.89039,0.77485,0.87228,0.76052,0.89039,0.76602,0.56788,0.17904,0.98813,1.00767,0,0.0001832,0.0001832,0.0001832
34,362.387,0.70838,0.44184,1.07702,1.15934,0,0.93352,0.74491,0.89994,0.76865,0.93352,0.74491,0.89994,0.76524,0.59072,0.17974,1.04616,1.0458,0,0.0001733,0.0001733,0.0001733
35,373.014,0.72348,0.48,1.063,1.18145,0,0.78201,0.81712,0.88492,0.79841,0.78201,0.81712,0.88492,0.78031,0.5457,0.17784,1.05936,0.99612,0,0.0001634,0.0001634,0.0001634
36,383.759,0.70342,0.39424,1.02404,1.15465,0,0.77668,0.86237,0.89008,0.77824,0.77668,0.86237,0.89008,0.75979,0.58798,0.17837,0.99503,1.01378,0,0.0001535,0.0001535,0.0001535
37,394.327,0.73306,0.51025,1.07396,1.15761,0,0.87732,0.86476,0.91094,0.78264,0.87732,0.86476,0.91094,0.77821,0.6084,0.17557,0.92639,1.05373,0,0.0001436,0.0001436,0.0001436
38,404.892,0.68703,0.382,0.96693,1.1408,0,0.91987,0.86638,0.91503,0.79155,0.91987,0.86638,0.91503,0.78414,0.57078,0.17546,0.90736,1.01838,0,0.0001337,0.0001337,0.0001337
39,415.598,0.68796,0.46661,0.95716,1.13509,0,0.91183,0.81891,0.89664,0.79914,0.91183,0.81891,0.89664,0.78242,0.52398,0.17645,0.94284,0.98777,0,0.0001238,0.0001238,0.0001238
40,426.257,0.66066,0.50715,0.94953,1.10728,0,0.90632,0.75019,0.88931,0.7939,0.90632,0.75019,0.88931,0.77436,0.52071,0.17736,0.98515,0.98978,0,0.0001139,0.0001139,0.0001139
41,437.87,0.53074,0.36007,1.32769,1.10728,0,0.87551,0.81692,0.88627,0.80527,0.87551,0.81692,0.88627,0.78731,0.53035,0.18275,1.02832,1.01503,0,0.000104,0.000104,0.000104
42,448.442,0.51095,0.36099,1.14927,1.08602,0,0.87399,0.78011,0.90995,0.76322,0.87399,0.78011,0.90995,0.77013,0.56533,0.18422,1.19443,1.03382,0,9.41e-05,9.41e-05,9.41e-05
43,458.996,0.48492,0.36602,1.11295,1.06038,0,0.84967,0.7945,0.91092,0.79351,0.84967,0.7945,0.91092,0.7786,0.53002,0.18292,1.14719,1.00209,0,8.42e-05,8.42e-05,8.42e-05
44,469.539,0.47721,0.36325,1.105,1.0474,0,0.88774,0.83454,0.90119,0.81833,0.88774,0.83454,0.90119,0.78793,0.49969,0.18262,1.06264,0.98441,0,7.43e-05,7.43e-05,7.43e-05
45,480.06,0.47077,0.38046,0.97652,1.05906,0,0.88714,0.74444,0.88487,0.78939,0.88714,0.74444,0.88487,0.78701,0.4986,0.18365,1.06917,0.98517,0,6.44e-05,6.44e-05,6.44e-05
46,490.46,0.44129,0.32339,0.94015,1.02663,0,0.84683,0.78335,0.8591,0.76601,0.84683,0.78335,0.8591,0.76696,0.51048,0.18442,1.10723,0.99185,0,5.45e-05,5.45e-05,5.45e-05
47,500.948,0.44498,0.32778,0.93606,1.04259,0,0.86619,0.77758,0.86474,0.76327,0.86619,0.77758,0.86474,0.75933,0.51003,0.18339,1.03814,0.99343,0,4.46e-05,4.46e-05,4.46e-05
48,511.519,0.41757,0.30721,0.92749,0.99637,0,0.83146,0.83883,0.86461,0.75648,0.83146,0.83883,0.86461,0.74736,0.51642,0.18236,1.0282,0.99772,0,3.47e-05,3.47e-05,3.47e-05
49,522.099,0.43273,0.35,0.92852,1.02429,0,0.83317,0.84167,0.87423,0.76957,0.83317,0.84167,0.87423,0.7558,0.50673,0.18146,1.01038,0.99377,0,2.48e-05,2.48e-05,2.48e-05
50,532.585,0.43879,0.33509,0.89876,1.00758,0,0.83447,0.83654,0.8784,0.78104,0.83447,0.83654,0.8784,0.7692,0.50186,0.18138,0.99692,0.98856,0,1.49e-05,1.49e-05,1.49e-05
