epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,433.002,0.51799,1.01162,0.87729,0.99985,0,0.58977,0.66449,0.61131,0.51596,0.58977,0.66449,0.60595,0.52191,0.66878,1.5458,1.60215,1.19322,0,0.0002327,0.0002327,0.0002327
29,448.917,0.50319,0.94606,0.86415,1.01413,0,0.59098,0.5641,0.57303,0.48559,0.59098,0.5641,0.56829,0.4779,0.65438,1.59916,1.6937,1.19559,0,0.0002228,0.0002228,0.0002228
30,464.779,0.49091,1.01747,0.85761,0.98615,0,0.5516,0.62031,0.5324,0.44281,0.5516,0.62031,0.53137,0.44438,0.64477,1.39574,1.69533,1.19794,0,0.0002129,0.0002129,0.0002129
31,480.719,0.46386,0.92394,0.78257,0.98006,0,0.57966,0.63395,0.54688,0.44256,0.57966,0.63395,0.54535,0.46247,0.64512,1.39417,1.68307,1.19401,0,0.000203,0.000203,0.000203
32,496.706,0.44586,0.94708,0.7801,0.97178,0,0.5862,0.66807,0.56113,0.4563,0.5862,0.66807,0.56113,0.47666,0.61343,1.41218,1.62683,1.1427,0,0.0001931,0.0001931,0.0001931
33,512.615,0.47662,0.94507,0.78006,0.97592,0,0.58466,0.61973,0.61619,0.51051,0.58466,0.61973,0.62054,0.53421,0.65111,1.43529,1.62082,1.17188,0,0.0001832,0.0001832,0.0001832
34,529.011,0.47065,0.98475,0.78827,0.98517,0,0.67072,0.49847,0.63326,0.53776,0.67072,0.49847,0.63515,0.55323,0.66369,1.3462,1.63194,1.18474,0,0.0001733,0.0001733,0.0001733
35,545.152,0.47087,0.92146,0.76748,0.98379,0,0.56199,0.67399,0.64185,0.54999,0.56199,0.67399,0.64189,0.56306,0.63604,1.36763,1.5196,1.14109,0,0.0001634,0.0001634,0.0001634
36,561.091,0.43244,0.79992,0.7655,0.96399,0,0.60297,0.61944,0.64722,0.55787,0.60297,0.61944,0.6495,0.5658,0.61494,1.36219,1.45975,1.14906,0,0.0001535,0.0001535,0.0001535
37,577.376,0.43876,0.89223,0.75357,0.96956,0,0.6385,0.59848,0.62037,0.51947,0.6385,0.59848,0.62515,0.54117,0.67348,1.29333,1.52903,1.19768,0,0.0001436,0.0001436,0.0001436
