epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,357.043,0.85082,0.4523,1.32186,1.26313,0,0.65712,0.775,0.79732,0.66297,0.65712,0.775,0.79732,0.65065,0.74753,0.161,1.16915,1.20997,0,0.000665057,0.000665057,0.000665057
29,369.134,0.91543,0.53203,1.4462,1.30212,0,0.71936,0.78333,0.81776,0.66372,0.71936,0.78333,0.81776,0.66393,0.69151,0.1801,1.3093,1.1496,0,0.000636762,0.000636762,0.000636762
30,381.108,0.93119,0.55193,1.38752,1.2977,0,0.75047,0.74287,0.86248,0.70402,0.75047,0.74287,0.86248,0.69453,0.76982,0.19267,1.18446,1.21537,0,0.000608468,0.000608468,0.000608468
31,393.102,0.88129,0.50259,1.37074,1.28725,0,0.8151,0.84167,0.85191,0.70854,0.8151,0.84167,0.85191,0.71312,0.64842,0.19099,1.11909,1.1609,0,0.000580174,0.000580174,0.000580174
32,405.044,0.82927,0.43335,1.31396,1.24727,0,0.77131,0.79156,0.83288,0.71634,0.77131,0.79156,0.83288,0.69908,0.69292,0.17193,1.15067,1.184,0,0.00055188,0.00055188,0.00055188
33,416.926,0.84564,0.55787,1.32742,1.27206,0,0.72261,0.8335,0.84496,0.73419,0.72261,0.8335,0.84496,0.73038,0.63644,0.17365,1.08546,1.05627,0,0.000523586,0.000523586,0.000523586
34,429.041,0.81468,0.46922,1.29252,1.22681,0,0.68721,0.78333,0.83587,0.72278,0.68721,0.78333,0.83587,0.71958,0.64126,0.15985,1.02948,1.06565,0,0.000495291,0.000495291,0.000495291
35,441.05,0.86314,0.60116,1.34801,1.2788,0,0.8335,0.81061,0.8769,0.79336,0.8335,0.81061,0.8769,0.78989,0.59015,0.16059,0.97717,1.02629,0,0.000466997,0.000466997,0.000466997
36,453.124,0.81609,0.43737,1.24677,1.21391,0,0.78458,0.79563,0.88961,0.77948,0.78458,0.79563,0.88961,0.76026,0.63916,0.16073,0.95968,1.0379,0,0.000438703,0.000438703,0.000438703
37,465.09,0.79375,0.50677,1.22881,1.21562,0,0.83124,0.84971,0.88988,0.78557,0.83124,0.84971,0.88988,0.7643,0.64163,0.16423,0.91525,1.06399,0,0.000410409,0.000410409,0.000410409
38,477.368,0.7723,0.42702,1.18988,1.20252,0,0.97582,0.7391,0.89762,0.80643,0.97582,0.7391,0.89762,0.79183,0.6292,0.16083,0.92096,1.04851,0,0.000382115,0.000382115,0.000382115
39,489.421,0.77775,0.43329,1.17051,1.21901,0,0.82992,0.78056,0.87058,0.76442,0.82992,0.78056,0.87058,0.76072,0.56782,0.1575,0.9416,1.02144,0,0.00035382,0.00035382,0.00035382
40,501.425,0.75301,0.42728,1.14975,1.19416,0,0.775,0.81636,0.86786,0.76366,0.775,0.81636,0.86786,0.76326,0.55874,0.16447,1.02039,1.02554,0,0.000325526,0.000325526,0.000325526
41,514.439,0.59715,0.36641,1.10946,1.15569,0,0.8269,0.76623,0.88096,0.7539,0.8269,0.76623,0.88096,0.76563,0.62305,0.1777,1.0241,1.09395,0,0.000297232,0.000297232,0.000297232
42,526.354,0.57592,0.36668,1.05408,1.13631,0,0.7429,0.80833,0.85656,0.75614,0.7429,0.80833,0.85656,0.73864,0.59294,0.17142,0.96965,0.99943,0,0.000268938,0.000268938,0.000268938
43,538.272,0.52437,0.34683,0.97832,1.11495,0,0.77742,0.88418,0.87143,0.79582,0.77742,0.88418,0.87143,0.78316,0.50309,0.16954,0.98279,0.95232,0,0.000240644,0.000240644,0.000240644
44,550.267,0.52305,0.35379,0.98244,1.09527,0,0.81155,0.91667,0.87759,0.7549,0.81155,0.91667,0.87759,0.76997,0.51687,0.17011,0.89795,0.96324,0,0.000212349,0.000212349,0.000212349
45,562.305,0.50846,0.34601,0.92763,1.08602,0,0.79847,0.82813,0.89477,0.79795,0.79847,0.82813,0.89477,0.77457,0.47662,0.16538,0.84701,0.91378,0,0.000184055,0.000184055,0.000184055
46,574.316,0.49322,0.38304,0.96379,1.06307,0,0.84757,0.90817,0.90876,0.80086,0.84757,0.90817,0.90876,0.78434,0.49055,0.16842,0.83988,0.91774,0,0.000155761,0.000155761,0.000155761
47,586.51,0.48148,0.35626,0.93562,1.07954,0,0.90896,0.81253,0.91621,0.79766,0.90896,0.81253,0.91621,0.78529,0.52813,0.17122,0.86051,0.96059,0,0.000127467,0.000127467,0.000127467
48,598.676,0.47427,0.32834,0.86607,1.07034,0,0.87631,0.83986,0.90555,0.81106,0.87631,0.83986,0.90555,0.80847,0.47932,0.17162,0.79783,0.91427,0,9.91726e-05,9.91726e-05,9.91726e-05
49,610.918,0.45442,0.35222,0.85463,1.04564,0,0.89908,0.82828,0.9034,0.82029,0.89908,0.82828,0.9034,0.80808,0.46721,0.17146,0.80167,0.91241,0,7.08784e-05,7.08784e-05,7.08784e-05
50,623.083,0.44747,0.34368,0.83154,1.04041,0,0.88612,0.8555,0.91217,0.83176,0.88612,0.8555,0.91217,0.81215,0.46687,0.17135,0.78443,0.91352,0,4.25842e-05,4.25842e-05,4.25842e-05
