epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,308.611,0.77064,0.52046,1.93106,1.20064,0,0.56991,0.675,0.66068,0.57828,0.56991,0.675,0.66068,0.58416,0.49761,0.17413,2.25681,0.95753,0,0.0002228,0.0002228,0.0002228
30,319.24,0.80391,0.52293,1.96492,1.22583,0,0.5574,0.64961,0.67219,0.58663,0.5574,0.64961,0.67219,0.5922,0.49531,0.1745,2.22849,0.95255,0,0.0002129,0.0002129,0.0002129
31,329.864,0.76037,0.50545,1.88653,1.19057,0,0.53719,0.69581,0.67113,0.59952,0.53719,0.69581,0.67113,0.59404,0.47444,0.1735,2.21238,0.93376,0,0.000203,0.000203,0.000203
32,340.426,0.81952,0.57311,1.93959,1.21969,0,0.49826,0.675,0.65576,0.58403,0.49826,0.675,0.65576,0.58097,0.46388,0.17341,2.17381,0.9255,0,0.0001931,0.0001931,0.0001931
33,350.946,0.78141,0.54381,1.93228,1.20738,0,0.5568,0.61389,0.65362,0.5783,0.5568,0.61389,0.65362,0.58438,0.46613,0.17422,2.16887,0.92936,0,0.0001832,0.0001832,0.0001832
34,361.578,0.76612,0.47598,1.96149,1.20376,0,0.5197,0.71667,0.65124,0.58152,0.5197,0.71667,0.65124,0.58571,0.46615,0.17683,2.16512,0.9317,0,0.0001733,0.0001733,0.0001733
35,372.215,0.77788,0.53212,1.91294,1.22718,0,0.5422,0.71568,0.65417,0.57644,0.5422,0.71568,0.65417,0.57855,0.46734,0.17607,2.16046,0.93813,0,0.0001634,0.0001634,0.0001634
36,382.904,0.75486,0.42712,1.87051,1.19988,0,0.5409,0.68268,0.66261,0.59588,0.5409,0.68268,0.66261,0.58813,0.46306,0.17491,2.14703,0.93624,0,0.0001535,0.0001535,0.0001535
37,393.59,0.80361,0.56002,1.9469,1.20784,0,0.56003,0.69126,0.66887,0.6045,0.56003,0.69126,0.66887,0.59116,0.45695,0.17385,2.12542,0.92721,0,0.0001436,0.0001436,0.0001436
38,404.172,0.74949,0.42178,1.88535,1.19146,0,0.52663,0.70833,0.67878,0.61771,0.52663,0.70833,0.67878,0.60897,0.44767,0.17163,2.11526,0.92163,0,0.0001337,0.0001337,0.0001337
