epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,300.512,0.76104,0.44382,1.22382,1.19929,0,0.96136,0.76735,0.89112,0.75145,0.96136,0.76735,0.89112,0.74824,0.61605,0.17372,1.07651,1.08846,0,0.0002327,0.0002327,0.0002327
29,311.226,0.72991,0.49449,1.10016,1.16196,0,0.72499,0.90511,0.86156,0.73473,0.72499,0.90511,0.86156,0.71823,0.6359,0.17103,1.07989,1.12138,0,0.0002228,0.0002228,0.0002228
30,321.86,0.75405,0.49325,1.12946,1.18441,0,0.81414,0.80507,0.867,0.75687,0.81414,0.80507,0.867,0.74013,0.58198,0.16399,1.06766,1.05921,0,0.0002129,0.0002129,0.0002129
31,332.525,0.70125,0.44879,1.07009,1.14258,0,0.74501,0.84582,0.87049,0.76802,0.74501,0.84582,0.87049,0.76722,0.56168,0.16291,1.04838,1.05218,0,0.000203,0.000203,0.000203
32,343.297,0.7615,0.5274,1.11836,1.17704,0,0.88634,0.67466,0.86808,0.74696,0.88634,0.67466,0.86808,0.73368,0.56627,0.17225,1.09647,1.03704,0,0.0001931,0.0001931,0.0001931
33,353.996,0.74203,0.48837,1.11665,1.18005,0,0.87939,0.73604,0.88818,0.78143,0.87939,0.73604,0.88818,0.76937,0.57472,0.16663,1.05773,1.04514,0,0.0001832,0.0001832,0.0001832
34,364.692,0.71708,0.43898,1.08823,1.16196,0,0.69848,0.83045,0.86077,0.75854,0.69848,0.83045,0.86077,0.74925,0.56981,0.16365,1.08378,1.02769,0,0.0001733,0.0001733,0.0001733
35,375.308,0.70791,0.495,1.0621,1.1717,0,0.76557,0.76861,0.8552,0.75554,0.76557,0.76861,0.8552,0.74144,0.55397,0.15967,1.10615,1.00601,0,0.0001634,0.0001634,0.0001634
36,385.995,0.70322,0.39225,1.00529,1.15144,0,0.74078,0.83859,0.85648,0.74279,0.74078,0.83859,0.85648,0.73631,0.60248,0.16049,1.11063,1.06857,0,0.0001535,0.0001535,0.0001535
37,396.705,0.73075,0.51475,1.05316,1.15168,0,0.87677,0.70789,0.87379,0.74138,0.87677,0.70789,0.87379,0.7341,0.63085,0.1597,1.05022,1.0825,0,0.0001436,0.0001436,0.0001436
38,407.38,0.69484,0.39093,0.99022,1.14429,0,0.84124,0.79665,0.88016,0.76144,0.84124,0.79665,0.88016,0.75428,0.58031,0.16165,1.04312,1.03025,0,0.0001337,0.0001337,0.0001337
39,418.112,0.67946,0.47591,0.95613,1.13049,0,0.79235,0.85127,0.88133,0.7657,0.79235,0.85127,0.88133,0.76627,0.5452,0.16467,1.04541,1.0108,0,0.0001238,0.0001238,0.0001238
40,428.758,0.66879,0.52095,0.96478,1.10803,0,0.83794,0.84601,0.89072,0.79185,0.83794,0.84601,0.89072,0.78486,0.5394,0.16358,1.03826,0.99796,0,0.0001139,0.0001139,0.0001139
41,440.453,0.51079,0.36915,1.24694,1.09579,0,0.82697,0.80938,0.86873,0.77692,0.82697,0.80938,0.86873,0.76204,0.53711,0.16982,1.11545,0.99829,0,0.000104,0.000104,0.000104
42,451.006,0.49456,0.35554,1.11313,1.07048,0,0.88401,0.72283,0.87896,0.77647,0.88401,0.72283,0.87896,0.76202,0.53888,0.17264,1.19889,0.99476,0,9.41e-05,9.41e-05,9.41e-05
43,461.551,0.49453,0.38043,1.13625,1.07393,0,0.92037,0.70556,0.90526,0.82524,0.92037,0.70556,0.90526,0.81039,0.4962,0.17435,1.08574,0.96071,0,8.42e-05,8.42e-05,8.42e-05
44,472.152,0.47395,0.37836,1.06815,1.05076,0,0.82626,0.77222,0.89225,0.81647,0.82626,0.77222,0.89225,0.80056,0.4634,0.17269,1.03189,0.9436,0,7.43e-05,7.43e-05,7.43e-05
45,482.746,0.49335,0.39834,0.96174,1.07634,0,0.75443,0.89437,0.87878,0.7974,0.75443,0.89437,0.87878,0.78042,0.46712,0.17189,1.06765,0.94799,0,6.44e-05,6.44e-05,6.44e-05
46,493.289,0.44436,0.31876,0.95792,1.02473,0,0.79246,0.81389,0.857,0.77543,0.79246,0.81389,0.857,0.76748,0.50557,0.16997,1.0663,0.97917,0,5.45e-05,5.45e-05,5.45e-05
47,503.762,0.44106,0.33726,0.93197,1.04578,0,0.8899,0.73352,0.87441,0.7823,0.8899,0.73352,0.87441,0.78198,0.52292,0.16814,1.0521,1.00031,0,4.46e-05,4.46e-05,4.46e-05
48,514.326,0.42397,0.32584,0.90248,0.99694,0,0.88236,0.73123,0.87152,0.77898,0.88236,0.73123,0.87152,0.78664,0.52115,0.16818,1.06009,1.00305,0,3.47e-05,3.47e-05,3.47e-05
49,524.844,0.44596,0.36148,0.94979,1.04244,0,0.69569,0.86111,0.86117,0.76988,0.69569,0.86111,0.86117,0.77057,0.51158,0.16738,1.05061,0.98831,0,2.48e-05,2.48e-05,2.48e-05
50,535.425,0.43164,0.3412,0.88527,1.00662,0,0.71544,0.91038,0.86138,0.77084,0.71544,0.91038,0.86138,0.76678,0.50465,0.16752,1.06176,0.97931,0,1.49e-05,1.49e-05,1.49e-05
